,UID,ANS
0,11228,"[[29], [29, 49, 35, 100, 66, 5, 56, 39, 97, 59]]"
1,21724,"[[50], [50, 35, 69, 49, 44, 56, 60, 47, 8, 7]]"
2,16782,"[[15], [15, 8, 31, 100, 62, 42, 56, 40, 66, 45]]"
3,12105,"[[66], [66, 48, 42, 34, 15, 13]]"
4,14427,"[[30], [30, 28, 70, 43, 45, 2, 64, 26, 44, 54]]"
5,4436,"[[32], [32, 13, 62, 49, 66, 1, 97, 68, 20, 48]]"
6,8311,"[[19], [19, 49, 78, 92, 99, 82, 69, 45, 83, 70]]"
7,20915,"[[15], [15, 89, 50, 5, 93, 96, 29, 61, 100, 46]]"
8,2392,"[[42], [42, 26, 66, 34, 62, 45, 11, 10, 59, 37]]"
9,12458,"[[93], [93, 35, 52, 68, 29, 20, 7, 15]]"
10,2092,"[[50], [50, 69, 38, 29, 48, 61, 25, 70, 67, 2]]"
11,473,"[[50], [50, 53, 38, 21, 65, 11, 40, 45, 5]]"
12,24279,"[[32], [32, 68, 50, 47, 60, 19, 56, 10, 3, 40]]"
13,5232,"[[49], [49, 47, 55, 41, 66, 13, 61, 26, 21, 70]]"
14,13992,"[[27], [27, 42, 54, 34, 39, 5, 77, 40, 17, 43]]"
15,13100,"[[35], [35, 56, 48, 14, 28, 5, 8, 2, 38, 63]]"
16,20159,"[[50], [50, 53, 65, 32, 61, 89, 17, 11, 6, 98]]"
17,22193,"[[21], [21, 36, 100, 14, 12, 56, 97, 62, 25, 22]]"
18,9575,"[[10], [10, 97, 32, 57, 55, 43, 41, 42, 61, 38]]"
19,10762,"[[11], [11, 50, 56, 41, 10, 82, 98, 67, 43, 7]]"
20,14921,"[[50], [50, 72, 42, 32, 73, 79, 46, 75, 3, 28]]"
21,11055,"[[27], [27, 54, 21, 5, 68, 13, 84, 20, 51, 1]]"
22,11004,"[[28], [28, 78, 62, 23, 33, 64, 38, 15, 43, 1]]"
23,24608,"[[36], [36, 62, 56, 97, 12, 84, 100, 85, 52, 79]]"
24,10754,"[[27], [27, 49, 29, 48, 61, 21, 6, 47, 26, 46]]"
25,12540,"[[50], [50, 35, 62, 10, 34, 45, 57, 46, 28, 30]]"
26,22191,"[[32], [32, 36, 49, 54, 42, 21, 39, 100, 11, 55]]"
27,17225,"[[32], [32, 69, 96, 56, 91, 88, 86, 38, 61, 78]]"
28,6598,"[[29], [29, 36, 10, 35, 8, 49, 22, 46, 7, 3]]"
29,15066,"[[73], [73, 89, 50, 81, 29, 5, 14, 12, 20, 99]]"
30,3420,"[[48], [48, 32, 93, 9, 42, 11, 59, 39, 71, 43]]"
31,1060,"[[68], [68, 36, 66, 69, 5, 65, 25, 16, 22, 52]]"
32,23965,"[[88], [88, 32, 38, 46, 69, 15, 61, 26]]"
33,13787,"[[54], [54, 72, 49, 32, 83, 56, 100, 86, 2, 67]]"
34,9923,"[[27], [27, 61, 11, 56, 68, 21, 42, 38, 52, 33]]"
35,11260,"[[32], [32, 27, 65, 48, 49, 62, 46, 64, 60, 52]]"
36,7479,"[[29], [29, 50, 12, 1, 40, 61, 68, 60, 45, 17]]"
37,14196,"[[65], [65, 54, 73, 85, 34, 42, 53, 51, 47, 28]]"
38,6285,"[[27], [27, 31, 61, 26, 56, 62, 68, 13, 51, 47]]"
39,15799,"[[93], [93, 36, 90, 97, 69, 98, 21, 49, 48, 95]]"
40,22467,"[[98], [98, 29, 42, 14, 34, 66, 36, 85, 56, 32]]"
41,21802,"[[68], [68, 43, 49, 48, 19, 20, 83, 38, 18, 66]]"
42,20667,"[[72], [72, 83, 62, 65, 21, 69, 66, 71, 97, 34]]"
43,6580,"[[61], [61, 32, 54, 31, 66, 35, 62, 53, 52, 20]]"
44,24088,"[[32], [32, 35, 21, 66, 27, 26, 28, 6, 34, 8]]"
45,19540,"[[36], [36, 5, 52, 77, 47, 34, 28, 40, 17, 51]]"
46,22146,"[[12], [12, 45, 53, 36, 28, 54, 66, 62, 5]]"
47,1320,"[[36], [36, 35, 11, 42, 31, 10, 22, 56, 49, 39]]"
48,4129,"[[94], [94, 88, 93, 82, 92, 100, 54, 45, 53, 23]]"
49,15675,"[[88], [88, 29, 87, 96, 55, 25, 22, 56, 83, 65]]"
50,16406,"[[32], [32, 61, 69, 56, 13]]"
51,17205,"[[65], [65, 5, 51, 32, 25, 81, 19, 48, 23, 91]]"
52,1027,"[[38], [38, 40, 1, 8, 42, 46, 25, 37, 52, 57]]"
53,23975,"[[57], [57, 1, 16, 60, 13, 4, 59, 40, 96, 51]]"
54,6360,"[[49], [49, 6, 68, 53, 31, 76, 87, 35, 46, 83]]"
55,5262,"[[38], [38, 32, 28, 60, 48, 86, 45, 9, 14, 59]]"
56,11945,"[[27], [27, 50, 35, 31, 54, 55, 56, 46, 52, 19]]"
57,237,"[[27], [27, 61, 40, 5, 56, 46, 91, 43, 33, 67]]"
58,15953,"[[97], [97, 8, 53, 19, 54, 68, 10, 3, 6, 40]]"
59,21260,"[[29], [29, 49, 69, 12, 48, 39, 18, 13, 1, 23]]"
60,3627,"[[29], [29, 54, 27, 53, 21, 66, 14, 12, 20, 52]]"
61,2923,"[[27], [27, 85, 76, 80, 49, 14, 19, 75, 56, 81]]"
62,8448,"[[21], [21, 11, 53, 36, 6, 25, 35, 70, 2, 33]]"
63,12502,"[[1], [1, 54, 67, 35, 82, 27, 65, 7, 93, 68]]"
64,19446,"[[32], [32, 35, 56, 49, 31, 14, 6, 22, 28, 63]]"
65,23455,"[[73], [73, 77, 96, 83, 6, 100, 12, 5, 44, 97]]"
66,5546,"[[32], [32, 91, 21, 47, 28, 6, 92, 18, 11, 87]]"
67,10128,"[[50], [50, 36, 53, 62, 66, 89, 76, 61, 48, 42]]"
68,737,"[[69], [69, 31, 66, 36, 42, 35, 6, 76, 28, 88]]"
69,1731,"[[50], [50, 29, 36, 61, 48, 56, 89, 14, 5, 39]]"
70,5581,"[[27], [27, 8, 65, 11, 83, 38, 71, 80, 76, 81]]"
71,24601,"[[26], [26, 50, 41, 13, 67, 43, 15, 33, 74, 87]]"
72,24834,"[[50], [50, 49, 69, 68, 14, 34, 55, 4, 64, 9]]"
73,22178,"[[10], [10, 63, 68, 1, 22, 30, 31, 80, 23, 89]]"
74,13934,"[[55], [55, 32, 6, 11, 23, 43, 24, 63, 41, 5]]"
75,19205,"[[31], [31, 48, 27, 39, 100, 65, 72, 63, 3, 83]]"
76,22707,"[[32], [32, 27, 94, 1, 76, 29, 23, 64, 53, 61]]"
77,14169,"[[50], [50, 65, 26, 17, 42, 83, 8, 10, 49, 25]]"
78,9422,"[[62], [62, 65, 50, 35, 14, 19, 40, 52, 46]]"
79,21086,"[[89], [89, 81, 92, 29, 55, 68, 82, 100, 3, 11]]"
80,431,"[[50], [50, 56, 46, 15, 25, 45, 47, 51, 16, 20]]"
81,23080,"[[54], [54, 49, 69, 96, 28, 40, 64, 15, 63, 13]]"
82,11358,"[[27], [27, 50, 53, 5, 19, 8]]"
83,8873,"[[66], [66, 26, 2, 81, 25, 48, 6, 1, 80, 40]]"
84,8045,"[[3], [3, 91, 97, 98, 89, 81, 5, 94, 13, 93]]"
85,21694,"[[72], [72, 75, 93, 81, 49, 92, 66, 28, 12, 74]]"
